Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution aux particules;Niveau de pollution;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;Mesures d’amélioration mises en place ou prévues;stop_lon;stop_lat;point_geo;pollution_air;air;niveau;actions;niveau_pollution
IDFM:21994;Arts et Métiers;Métro 3;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3567233472754983;48.86553459885931;48.86553459885931, 2.3567233472754983;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:21997;Arts et Métiers;Métro 11;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3565081436435467;48.86529961264491;48.86529961264491, 2.3565081436435467;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:22124;Avron;Métro 2;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.3981875566593973;48.85164854359716;48.85164854359716, 2.3981875566593973;pollution moyenne - incertitude forte;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:463051;Balard;Métro 8;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.2783626618092008;48.83666789483108;48.83666789483108, 2.2783626618092008;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43087;Ballancourt;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.3700930488013845;48.53101531216478;48.53101531216478, 2.3700930488013845;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:483277;Barbara;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3174992240284045;48.80979025430712;48.80979025430712, 2.3174992240284045;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:22010;Bastille;Métro 5;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.368922075646989;48.85328747830434;48.85328747830434, 2.368922075646989;pollution moyenne - incertitude forte;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22178;Bercy;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.379463070185257;48.840176028121896;48.840176028121896, 2.379463070185257;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:463129;Bercy;Métro 14;pollution faible;FAIBLE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;;2.3790620152277233;48.84010199803391;48.84010199803391, 2.3790620152277233;pollution faible - incertitude faible;;Pollution faible;;pollution faible
IDFM:463112;Bibliothèque François Mitterrand;Métro 14;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.376487371168301;48.829925765928905;48.829925765928905, 2.376487371168301;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:45763;Boissise-le-Roi;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.57179291425262;48.52985734002498;48.52985734002498, 2.57179291425262;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43094;Boissy-Saint-Léger;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;;2.504498176690716;48.752267307821874;48.752267307821874, 2.504498176690716;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:463132;Bolivar;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.374152140698752;48.880789805531926;48.880789805531926, 2.374152140698752;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:22033;Bourse;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3406785469758815;48.868792843933164;48.868792843933164, 2.3406785469758815;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:47925;Breuillet - Bruyères-le-Châtel;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.1922487394356454;48.57760979436327;48.57760979436327, 2.1922487394356454;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43099;Breuillet Village;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.170354257290333;48.56433413404574;48.56433413404574, 2.170354257290333;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43101;Bry-sur-Marne;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;;2.525670945020106;48.845137476280854;48.845137476280854, 2.525670945020106;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:24683;Buttes Chaumont;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.381569842088008;48.87849908839857;48.87849908839857, 2.381569842088008;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:463141;Cardinal Lemoine;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3513280016731763;48.84670003526311;48.84670003526311, 2.3513280016731763;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:22391;Censier - Daubenton;Métro 7;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.351626572605499;48.84022624851393;48.84022624851393, 2.351626572605499;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:44559;Cergy Préfecture;RER A;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;Action(s) d'amélioration de la qualité de l'air en cours;;campagne de mesure ponctuelle;;2.0797809490013073;49.036306683133965;49.036306683133965, 2.0797809490013073;pollution moyenne - incertitude faible;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22090;Champs-Elysées - Clemenceau;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.314397292025236;48.867583959552555;48.867583959552555, 2.314397292025236;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:411428;Chantilly - Gouvieux;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.4595159140085237;49.187030004663995;49.187030004663995, 2.4595159140085237;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:58759;Charles de Gaulle - Etoile;RER A;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.295231447641207;48.874172759565376;48.874172759565376, 2.295231447641207;pollution faible - incertitude forte;;Pollution faible;Action(s) d'amélioration de la qualité de l'air en cours;pollution faible
IDFM:463043;Charles de Gaulle - Etoile;Métro 2;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.295927507409278;48.87494579313413;48.87494579313413, 2.295927507409278;pollution moyenne - incertitude forte;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22095;Charles de Gaulle - Etoile;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.294995735441831;48.87383861478572;48.87383861478572, 2.294995735441831;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:463149;Château de Vincennes;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.440540095406114;48.84431751431355;48.84431751431355, 2.440540095406114;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:22152;Château Rouge;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3495819680256593;48.887241930648955;48.887241930648955, 2.3495819680256593;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:22087;Châtelet;Métro 1;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3457609541847755;48.85922471342816;48.85922471342816, 2.3457609541847755;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:45102;Châtelet les Halles;RER A;pollution moyenne;MOYENNE;Évaluation : mesures permanentes;non;Action(s) d'amélioration de la qualité de l'air en cours;https://air-interieur.ratp.fr/;mesures permanentes;;2.34697651043533;48.86174503191322;48.86174503191322, 2.34697651043533;pollution moyenne - incertitude faible;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:45102;Châtelet les Halles;RER B;pollution moyenne;MOYENNE;Évaluation : mesures permanentes;non;;https://air-interieur.ratp.fr/;;;2.34697651043533;48.86174503191322;48.86174503191322, 2.34697651043533;pollution moyenne - incertitude faible;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:58879;Chelles - Gournay;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.5833806594500697;48.87411948897062;48.87411948897062, 2.5833806594500697;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:46035;Chemin d'Antony;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.3126496863919335;48.747936542587276;48.747936542587276, 2.3126496863919335;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:22096;Concorde;Métro 8;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3220315426557194;48.86652125193945;48.86652125193945, 2.3220315426557194;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43114;Conflans Fin d'Oise;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;;2.0746499245710193;48.991156287258484;48.991156287258484, 2.0746499245710193;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:462949;Convention;Métro 12;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.2963913864809173;48.83713505380496;48.83713505380496, 2.2963913864809173;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:490770;Coteaux Beauclair;Métro 11;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.4673647804495924;48.88212212689498;48.88212212689498, 2.4673647804495924;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:463155;Crimée;Métro 7;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.3770380600019925;48.890814345621656;48.890814345621656, 2.3770380600019925;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:24687;Danube;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.393228471227492;48.88194921492064;48.88194921492064, 2.393228471227492;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:473890;Denfert-Rochereau;RER B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.333220634641387;48.83318643678081;48.83318643678081, 2.333220634641387;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:22016;Eglise de Pantin;Métro 5;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.413119553706935;48.893163974098265;48.893163974098265, 2.413119553706935;pollution moyenne - incertitude forte;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:43080;Etampes;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.159819133907717;48.437062675829104;48.437062675829104, 2.159819133907717;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43081;Etréchy;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.1947692381982216;48.49387742150091;48.49387742150091, 2.1947692381982216;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:47906;Evry - Courcouronnes;RER D;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;;2.4300329095214526;48.62588794663492;48.62588794663492, 2.4300329095214526;pollution moyenne - incertitude faible;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43125;Fontenay-aux-Roses;RER B;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.2929083820455323;48.78756698215643;48.78756698215643, 2.2929083820455323;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43044;Gagny;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.5254046016945138;48.883728731604535;48.883728731604535, 2.5254046016945138;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:21981;Gare d'Austerlitz;Métro 5;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;;2.3656078807625422;48.84229779662816;48.84229779662816, 2.3656078807625422;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:463024;Gare d'Austerlitz;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.364395394600644;48.84228236697996;48.84228236697996, 2.364395394600644;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:463197;Gare de Lyon;Métro 1;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.373125016776689;48.84575948671397;48.84575948671397, 2.373125016776689;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:22084;George V;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.300759784978918;48.87203776458909;48.87203776458909, 2.300759784978918;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:22173;Glacière;Métro 6;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.3434974927179884;48.831170235245835;48.831170235245835, 2.3434974927179884;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:47876;Goussainville;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.4625658079312593;49.02341075826703;49.02341075826703, 2.4625658079312593;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:43131;Gretz-Armainvilliers;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.727167738339898;48.74645539980236;48.74645539980236, 2.727167738339898;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:monomodalStopPlace:58718;Haussmann Saint-Lazare;RER E;pollution faible;FAIBLE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;;2.328646179742093;48.874998862001185;48.874998862001185, 2.328646179742093;pollution faible - incertitude faible;;Pollution faible;;pollution faible
IDFM:463188;Havre-Caumartin;Métro 9;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;;2.327677208279404;48.8737568325288;48.8737568325288, 2.327677208279404;pollution moyenne - incertitude forte;;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:490839;Hôpital Bicêtre;Métro 14;pas de données;pas de données;Évaluation : impossible faute d’informations;non;;;;;2.349946533239157;48.809971090725966;48.809971090725966, 2.349946533239157;pas de données;;Pas de données;;pas de données
IDFM:24680;Jaurès;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.370451734004561;48.882344230208226;48.882344230208226, 2.370451734004561;pollution moyenne - incertitude forte;;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43136;Jouy-en-Josas;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.1644478368550066;48.764760068378486;48.764760068378486, 2.1644478368550066;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:463065;Jules Joffrin;Métro 12;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;;2.3443200293804827;48.892492268201934;48.892492268201934, 2.3443200293804827;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:411418;La Borne Blanche;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.5069908684194053;49.1261949449139;49.1261949449139, 2.5069908684194053;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
IDFM:22101;La Défense (Grande Arche);Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;;2.2379881830988277;48.89181786646099;48.89181786646099, 2.2379881830988277;pollution faible - incertitude forte;;Pollution faible;;pollution faible
IDFM:463194;La Motte-Picquet - Grenelle;Métro 6;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;;2.298957096977008;48.848765448122315;48.848765448122315, 2.298957096977008;station aérienne;;Station aérienne – Proche des niveaux en air extérieur;;station aérienne
